2026-03-23 19:15:07 [warning  ] Bundled web UI not mounted; build directory missing expected_paths=['C:\\Users\\Zippy\\Documents\\GitHub\\AudioBookRequest\\app\\static\\ui', 'C:\\Users\\Zippy\\Documents\\GitHub\\AudioBookRequest\\NarrarrUI\\build\\web']
INFO:     127.0.0.1:53223 - "OPTIONS /api/settings/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:53223 - "GET /api/settings/stats HTTP/1.1" 401 Unauthorized
INFO:     127.0.0.1:53223 - "OPTIONS /api/settings/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:53223 - "GET /api/settings/stats HTTP/1.1" 401 Unauthorized
INFO:     127.0.0.1:34457 - "GET /ui/config.json HTTP/1.1" 200 OK
INFO:     127.0.0.1:57141 - "GET /ui/config.json HTTP/1.1" 200 OK
INFO:     127.0.0.1:57141 - "OPTIONS /api/settings/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:57141 - "GET /api/settings/stats HTTP/1.1" 401 Unauthorized
INFO:     127.0.0.1:57141 - "OPTIONS /api/settings/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:57141 - "GET /api/settings/stats HTTP/1.1" 401 Unauthorized
INFO:     127.0.0.1:16549 - "GET /ui/config.json HTTP/1.1" 200 OK
INFO:     127.0.0.1:57440 - "GET /ui/config.json HTTP/1.1" 200 OK
INFO:     127.0.0.1:57440 - "OPTIONS /api/settings/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:57440 - "GET /api/settings/stats HTTP/1.1" 401 Unauthorized
INFO:     127.0.0.1:57440 - "OPTIONS /api/settings/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:57440 - "GET /api/settings/stats HTTP/1.1" 401 Unauthorized
INFO:     127.0.0.1:14084 - "GET /ui/config.json HTTP/1.1" 200 OK
INFO:     127.0.0.1:6892 - "GET /ui/config.json HTTP/1.1" 200 OK
INFO:     127.0.0.1:6892 - "OPTIONS /api/settings/stats HTTP/1.1" 200 OK
